District,Crop,Season,Year,Area_Cultivated,Rainfall,Temperature,Population,Production,Demand
West Godavari,Rice,Kharif,2010,43141,837.41,37.87,4300000,132050.51,576642.77
East Godavari,Rice,Summer,2013,18111,522.89,31.97,2100000,47214.56,240360.47
Vizianagaram,Groundnut,Rabi,2020,8039,994.24,34.47,3300000,10199.31,81119.52
Anantapur,Sugarcane,Rabi,2014,45844,864.21,30.69,3300000,4088968.99,567644.81
Prakasam,Maize,Summer,2017,25099,316.3,26.15,3300000,89067.93,219964.19
YSR Kadapa,Sugarcane,Summer,2021,4670,847.53,27.68,3300000,260156.12,766480.46
Visakhapatnam,Groundnut,Kharif,2021,44335,742.33,36.3,3600000,75213.0,86375.83
Krishna,Rice,Kharif,2017,16029,476.43,22.9,4200000,67159.28,531664.93
Krishna,Groundnut,Summer,2010,32811,1196.17,31.46,4200000,43725.06,96610.31
Anantapur,Cotton,Kharif,2014,16793,1107.45,27.96,3300000,11648.95,38451.1
Sri Potti Sriramulu Nellore,Cotton,Rabi,2019,42318,563.26,28.19,3100000,28608.85,35642.09
Prakasam,Sugarcane,Rabi,2010,49106,786.96,36.15,3300000,3217276.43,757529.67
Srikakulam,Sugarcane,Kharif,2010,21126,584.85,35.66,3000000,1112574.04,795086.23
Sri Potti Sriramulu Nellore,Maize,Kharif,2011,20228,997.95,31.58,3100000,89122.75,170352.13
Kurnool,Maize,Kharif,2011,19595,1137.3,26.37,4200000,93533.66,168425.32
West Godavari,Cotton,Rabi,2018,1972,622.95,29.61,4300000,1732.54,52823.1
Krishna,Rice,Kharif,2013,1360,1025.03,28.53,4200000,4534.95,616082.77
Kurnool,Groundnut,Summer,2012,3632,748.57,27.66,4200000,4758.16,82309.24
Vizianagaram,Maize,Kharif,2020,36958,656.92,23.64,3300000,139799.95,226270.33
Chittoor,Chilies,Summer,2010,38716,1144.58,30.69,2000000,73893.55,11188.43
Guntur,Maize,Kharif,2021,16346,759.36,26.83,2100000,71897.06,131259.18
East Godavari,Rice,Kharif,2011,49322,720.67,32.57,2100000,216963.87,298958.44
YSR Kadapa,Rice,Rabi,2015,19008,905.19,27.11,3300000,49387.19,442104.14
Prakasam,Sugarcane,Summer,2018,13120,535.11,28.9,3300000,1168215.96,936672.91
Sri Potti Sriramulu Nellore,Groundnut,Summer,2014,31283,592.31,22.84,3100000,58473.59,50013.17
Krishna,Rice,Summer,2013,8818,1138.84,37.88,4200000,23784.24,391070.61
Kurnool,Maize,Rabi,2022,6119,910.68,30.12,4200000,19829.26,230253.68
Visakhapatnam,Maize,Summer,2014,31579,1043.97,22.39,3600000,112036.91,250828.07
West Godavari,Cotton,Rabi,2018,46721,544.0,30.66,4300000,38714.88,59635.6
West Godavari,Rice,Kharif,2021,48668,789.41,35.93,4300000,132980.44,399727.24
Chittoor,Chilies,Kharif,2022,30837,1174.26,34.36,2000000,50585.07,8995.7
East Godavari,Sugarcane,Summer,2016,1975,586.83,33.21,2100000,171651.92,581402.52
East Godavari,Groundnut,Kharif,2017,17265,444.43,24.23,2100000,19826.62,49518.17
West Godavari,Chilies,Kharif,2013,5318,759.8,32.52,4300000,9990.68,26632.88
West Godavari,Sugarcane,Summer,2020,36081,649.04,34.26,4300000,2924223.42,1175142.06
Sri Potti Sriramulu Nellore,Maize,Kharif,2017,42515,443.62,31.16,3100000,209709.47,146974.49
Prakasam,Chilies,Summer,2015,44069,1099.7,36.28,3300000,79467.47,14776.4
Srikakulam,Sugarcane,Summer,2014,48816,1191.65,26.43,3000000,2729125.61,840798.59
Vizianagaram,Maize,Kharif,2022,14134,811.72,25.87,3300000,64575.81,144909.91
Visakhapatnam,Maize,Kharif,2021,40432,997.21,35.91,3600000,188176.13,155110.79
Vizianagaram,Maize,Kharif,2016,47150,1073.13,32.01,3300000,242920.58,164002.18
Sri Potti Sriramulu Nellore,Maize,Kharif,2015,11841,930.88,22.02,3100000,37120.36,158378.1
Kurnool,Maize,Kharif,2012,27135,339.74,27.65,4200000,122178.33,203446.9
Guntur,Cotton,Rabi,2014,13427,441.87,35.73,2100000,10208.55,27701.86
West Godavari,Chilies,Kharif,2018,41251,363.89,22.44,4300000,103026.65,31848.98
Anantapur,Sugarcane,Rabi,2016,35131,308.89,22.05,3300000,2323174.29,620211.2
Srikakulam,Cotton,Summer,2021,37727,575.4,26.5,3000000,29203.0,40418.9
Prakasam,Cotton,Kharif,2013,26165,653.12,36.62,3300000,16244.86,27422.0
Chittoor,Rice,Kharif,2016,2749,516.93,36.42,2000000,8587.79,176646.37
Srikakulam,Rice,Kharif,2014,34308,358.14,30.3,3000000,112933.87,348174.66
West Godavari,Rice,Summer,2020,8634,776.88,30.85,4300000,21470.76,644882.27
Krishna,Groundnut,Rabi,2022,11614,545.99,27.31,4200000,16768.49,123022.7
Prakasam,Rice,Rabi,2011,25866,1016.43,25.9,3300000,81640.05,289858.82
Guntur,Sugarcane,Kharif,2022,11282,307.25,35.04,2100000,933712.64,406467.95
Krishna,Cotton,Kharif,2015,21319,1058.27,23.7,4200000,13034.74,61406.28
Srikakulam,Sugarcane,Kharif,2016,37726,1159.28,29.8,3000000,3053122.45,543304.04
Anantapur,Chilies,Kharif,2017,16412,944.52,32.15,3300000,37038.83,21779.21
Anantapur,Rice,Summer,2015,37627,960.28,23.66,3300000,111290.99,264255.95
Guntur,Groundnut,Kharif,2017,9050,1140.21,30.31,2100000,10180.75,52172.34
East Godavari,Chilies,Summer,2016,25583,488.16,31.24,2100000,61660.15,12035.31
YSR Kadapa,Groundnut,Kharif,2011,19041,1195.11,33.88,3300000,24267.51,74561.37
Visakhapatnam,Chilies,Rabi,2023,7185,996.13,25.76,3600000,11314.02,24847.82
West Godavari,Cotton,Rabi,2015,21812,953.91,26.69,4300000,15973.75,36830.1
Chittoor,Sugarcane,Kharif,2018,26832,624.98,31.11,2000000,1766540.49,425653.0
West Godavari,Maize,Kharif,2021,18423,791.2,37.73,4300000,66002.45,239128.8
East Godavari,Sugarcane,Summer,2015,48156,888.53,25.48,2100000,4334627.83,372434.41
Vizianagaram,Rice,Kharif,2013,42644,858.31,37.77,3300000,183357.4,283788.97
Vizianagaram,Maize,Kharif,2016,37786,934.49,33.43,3300000,184967.81,152745.45
Vizianagaram,Groundnut,Kharif,2012,30665,374.14,35.22,3300000,43203.64,63936.4
Anantapur,Cotton,Rabi,2014,10989,620.08,23.43,3300000,11232.71,48716.0
Anantapur,Cotton,Summer,2010,19208,690.6,26.81,3300000,17062.99,37386.68
Kurnool,Groundnut,Rabi,2019,24054,534.57,22.92,4200000,43268.22,97205.0
Krishna,Rice,Summer,2012,31477,455.36,27.94,4200000,110227.35,543857.47
Srikakulam,Groundnut,Rabi,2017,31374,425.03,37.7,3000000,37477.99,76739.21
Chittoor,Chilies,Kharif,2018,42220,629.75,23.68,2000000,104041.17,11519.44
Guntur,Rice,Rabi,2018,4571,744.1,31.0,2100000,15868.21,217956.24
Srikakulam,Maize,Rabi,2019,20576,356.68,22.1,3000000,105442.37,154760.43
West Godavari,Groundnut,Summer,2011,10680,1151.81,33.4,4300000,13663.72,72274.19
Kurnool,Rice,Summer,2013,26706,988.72,25.16,4200000,121084.89,600491.26
Anantapur,Maize,Rabi,2014,15318,957.77,24.07,3300000,51067.44,220865.07
Guntur,Groundnut,Summer,2012,21659,455.57,27.39,2100000,29918.66,51926.29
Anantapur,Cotton,Summer,2022,6029,843.42,34.34,3300000,5095.28,35549.49
YSR Kadapa,Groundnut,Summer,2020,49436,776.75,23.71,3300000,82755.41,79709.92
Chittoor,Sugarcane,Summer,2010,3774,1184.22,25.68,2000000,299096.49,455825.15
Krishna,Groundnut,Summer,2015,17972,972.9,22.14,4200000,26573.89,83307.38
Srikakulam,Sugarcane,Rabi,2023,15048,818.19,37.49,3000000,785907.87,605400.55
Srikakulam,Maize,Summer,2019,34372,1065.73,31.47,3000000,137162.0,211820.37
Vizianagaram,Groundnut,Kharif,2011,44188,439.58,33.52,3300000,59707.67,82132.75
East Godavari,Maize,Rabi,2018,42133,313.69,32.42,2100000,184474.01,84104.55
Vizianagaram,Maize,Rabi,2010,15689,921.21,24.31,3300000,50792.53,169753.69
YSR Kadapa,Rice,Rabi,2020,17737,388.48,31.52,3300000,58127.98,342527.4
Guntur,Maize,Summer,2018,17014,403.89,24.1,2100000,87089.32,135915.66
Visakhapatnam,Maize,Kharif,2016,22818,970.21,28.42,3600000,68757.06,232257.12
Vizianagaram,Groundnut,Summer,2020,34201,543.48,31.1,3300000,54451.44,74243.95
Kurnool,Groundnut,Rabi,2022,12144,865.77,30.94,4200000,13741.95,123117.59
Vizianagaram,Cotton,Rabi,2019,32001,1125.67,23.91,3300000,20332.09,46548.49
Vizianagaram,Rice,Rabi,2011,1867,584.83,22.55,3300000,6945.92,464094.68
Visakhapatnam,Maize,Rabi,2023,28182,495.43,34.77,3600000,108940.04,187881.45
East Godavari,Rice,Summer,2015,15340,395.91,33.61,2100000,55252.35,231356.97
Chittoor,Sugarcane,Kharif,2017,12837,417.42,23.31,2000000,1103399.6,437309.34
Kurnool,Maize,Kharif,2011,48059,356.0,24.04,4200000,228827.0,232719.23
Vizianagaram,Rice,Rabi,2014,9787,378.88,36.28,3300000,42228.57,469407.69
YSR Kadapa,Cotton,Kharif,2022,1393,688.8,34.31,3300000,1192.13,32154.69
Krishna,Cotton,Rabi,2021,13056,588.78,37.94,4200000,10379.89,57184.54
Visakhapatnam,Maize,Rabi,2020,44160,935.9,26.06,3600000,172315.6,208769.04
Krishna,Sugarcane,Kharif,2015,45957,1083.22,29.8,4200000,3679867.04,818461.5
Visakhapatnam,Cotton,Rabi,2012,29429,1006.3,25.78,3600000,23844.08,42087.8
YSR Kadapa,Cotton,Kharif,2023,46909,777.57,31.96,3300000,28650.56,30914.7
Krishna,Sugarcane,Rabi,2021,32899,392.2,23.85,4200000,1808176.38,735609.43
Visakhapatnam,Rice,Kharif,2011,33221,938.79,24.04,3600000,106303.01,499220.71
West Godavari,Cotton,Rabi,2020,21754,626.55,23.15,4300000,12890.45,55449.59
Krishna,Groundnut,Kharif,2015,45389,377.09,33.1,4200000,57431.07,79252.76
East Godavari,Chilies,Rabi,2012,21905,1058.22,29.91,2100000,47921.15,15325.87
Prakasam,Chilies,Rabi,2011,25083,604.39,31.88,3300000,35490.35,13481.8
Kurnool,Cotton,Rabi,2010,42098,496.42,36.07,4200000,35781.81,43398.44
Guntur,Rice,Kharif,2023,30621,1084.31,33.85,2100000,124687.17,171183.0
Chittoor,Rice,Summer,2017,21577,1111.92,29.39,2000000,60573.61,179921.66
West Godavari,Maize,Rabi,2010,37728,605.07,37.75,4300000,122024.6,199101.95
Sri Potti Sriramulu Nellore,Groundnut,Rabi,2021,1663,619.32,29.3,3100000,1789.34,84768.53
Anantapur,Rice,Kharif,2014,48301,821.67,23.8,3300000,170316.33,493392.16
YSR Kadapa,Sugarcane,Rabi,2020,20216,960.1,37.88,3300000,1546375.97,928701.97
YSR Kadapa,Groundnut,Rabi,2015,48259,356.83,22.37,3300000,70516.95,82143.14
Vizianagaram,Chilies,Rabi,2020,10265,834.01,30.8,3300000,19168.23,21549.77
Guntur,Groundnut,Rabi,2021,5574,1157.54,26.95,2100000,8132.31,48970.94
Anantapur,Sugarcane,Summer,2021,23755,535.88,30.06,3300000,1943733.52,723215.15
YSR Kadapa,Cotton,Summer,2012,32241,1117.94,30.94,3300000,18573.62,42389.1
Kurnool,Sugarcane,Rabi,2023,23676,1155.15,25.84,4200000,1939546.91,1244192.61
Guntur,Sugarcane,Rabi,2016,22561,542.24,30.91,2100000,1736889.47,344494.85
Krishna,Cotton,Rabi,2011,25737,978.78,34.1,4200000,17395.25,42834.1
Krishna,Cotton,Summer,2016,24390,514.9,26.26,4200000,19801.63,43303.76
Sri Potti Sriramulu Nellore,Cotton,Summer,2011,27076,963.85,28.13,3100000,15803.17,33789.24
Anantapur,Cotton,Kharif,2014,6546,1017.68,26.29,3300000,4858.46,40881.21
YSR Kadapa,Cotton,Kharif,2016,22280,522.49,35.13,3300000,14338.08,38267.7
Chittoor,Sugarcane,Rabi,2020,33953,944.28,33.6,2000000,1695497.93,325244.13
YSR Kadapa,Maize,Rabi,2020,22037,1030.89,35.94,3300000,80589.64,179540.91
Kurnool,Maize,Summer,2023,41576,622.72,24.72,4200000,188866.04,259058.96
Krishna,Rice,Rabi,2012,29564,450.93,23.18,4200000,129612.89,484418.47
Vizianagaram,Maize,Rabi,2023,34597,382.77,23.91,3300000,151861.19,232723.15
Prakasam,Chilies,Summer,2020,20903,817.84,24.58,3300000,39347.06,17803.78
East Godavari,Maize,Summer,2013,31806,1180.29,30.53,2100000,165352.74,84923.06
East Godavari,Sugarcane,Summer,2010,47328,1040.66,37.53,2100000,2881500.31,419760.16
Visakhapatnam,Cotton,Summer,2012,25392,692.26,27.72,3600000,16500.31,32218.95
Chittoor,Cotton,Kharif,2018,29087,782.96,37.34,2000000,22762.54,19503.22
YSR Kadapa,Sugarcane,Summer,2019,45288,551.58,22.61,3300000,3179501.98,695284.66
East Godavari,Chilies,Summer,2014,45308,446.76,36.83,2100000,82722.81,13373.42
Visakhapatnam,Maize,Rabi,2017,23293,733.87,24.9,3600000,104101.02,184845.42
Anantapur,Sugarcane,Rabi,2011,11677,717.15,36.6,3300000,662346.36,936458.44
Krishna,Rice,Rabi,2012,13803,769.74,22.9,4200000,48610.21,424072.97
West Godavari,Cotton,Kharif,2016,47656,1157.52,37.17,4300000,38127.7,38521.7
Krishna,Groundnut,Summer,2023,47002,843.51,25.21,4200000,84199.75,77129.29
West Godavari,Rice,Summer,2019,2225,845.19,26.84,4300000,9782.51,625308.54
Vizianagaram,Chilies,Kharif,2013,6774,415.22,29.86,3300000,14875.16,18453.11
Prakasam,Rice,Summer,2018,14043,1196.84,28.09,3300000,43410.85,357122.12
Guntur,Sugarcane,Rabi,2023,17163,995.56,32.68,2100000,1338090.35,356256.86
East Godavari,Maize,Kharif,2016,3844,1089.48,37.6,2100000,13082.25,137899.1
Anantapur,Cotton,Summer,2023,8347,672.87,31.7,3300000,8546.84,42446.47
West Godavari,Chilies,Kharif,2020,21804,751.92,33.54,4300000,52042.54,22854.9
Srikakulam,Chilies,Kharif,2021,37764,769.88,23.41,3000000,72409.76,19263.52
YSR Kadapa,Groundnut,Summer,2010,28246,474.69,32.04,3300000,49597.41,69776.27
East Godavari,Rice,Rabi,2013,43458,920.54,29.26,2100000,143766.75,178754.23
YSR Kadapa,Groundnut,Summer,2019,2688,1112.68,36.17,3300000,3002.9,86900.19
Chittoor,Maize,Summer,2020,48055,447.34,28.21,2000000,216067.07,147564.09
Vizianagaram,Maize,Rabi,2015,18251,377.69,32.87,3300000,68825.86,206877.56
Guntur,Groundnut,Summer,2015,13504,964.4,25.65,2100000,25485.93,41727.96
East Godavari,Cotton,Summer,2019,40720,545.88,26.15,2100000,28795.12,20767.83
YSR Kadapa,Maize,Summer,2015,28584,861.48,28.02,3300000,137889.18,239296.91
Anantapur,Groundnut,Kharif,2014,45484,926.18,26.87,3300000,75612.33,66812.01
East Godavari,Rice,Kharif,2012,49531,589.72,26.06,2100000,210109.6,280924.26
West Godavari,Groundnut,Kharif,2011,39852,1033.63,22.79,4300000,52313.47,107503.48
Chittoor,Groundnut,Summer,2012,14219,794.99,35.39,2000000,20833.83,48592.85
Srikakulam,Sugarcane,Rabi,2018,43972,1082.1,23.03,3000000,3674802.41,556051.45
Kurnool,Maize,Kharif,2012,25815,986.96,36.2,4200000,112170.44,173058.42
Sri Potti Sriramulu Nellore,Cotton,Rabi,2012,49865,1081.72,24.01,3100000,36539.2,35404.29
Srikakulam,Cotton,Summer,2010,25623,318.15,23.04,3000000,20645.93,44751.33
Visakhapatnam,Sugarcane,Kharif,2011,37817,519.16,31.01,3600000,3435149.55,674662.99
East Godavari,Chilies,Summer,2020,4457,381.01,30.04,2100000,10207.5,12346.01
Krishna,Cotton,Rabi,2021,28855,697.87,29.86,4200000,24670.18,53326.79
Prakasam,Groundnut,Kharif,2012,37258,1100.96,31.19,3300000,66882.59,75145.91
Krishna,Sugarcane,Kharif,2011,16470,720.79,26.59,4200000,1112800.07,970077.08
Srikakulam,Rice,Kharif,2017,49957,1064.74,32.61,3000000,222065.58,378857.78
West Godavari,Maize,Kharif,2015,46930,594.46,30.04,4300000,193579.26,294643.28
Krishna,Maize,Rabi,2016,19281,605.61,27.36,4200000,69112.61,216993.28
Anantapur,Maize,Kharif,2010,12728,1106.01,35.22,3300000,38266.07,235866.29
Krishna,Groundnut,Summer,2015,46680,683.24,33.64,4200000,64797.71,95712.17
Guntur,Rice,Kharif,2011,39723,1010.79,28.3,2100000,144756.2,265295.99
Kurnool,Sugarcane,Rabi,2022,11162,512.98,35.56,4200000,876623.54,734630.02
East Godavari,Sugarcane,Kharif,2015,30272,1153.92,36.72,2100000,2595972.37,480788.91
Vizianagaram,Maize,Rabi,2012,36488,817.12,30.59,3300000,184830.18,133860.29
Krishna,Rice,Rabi,2016,44341,983.39,25.44,4200000,118175.55,450961.27
Chittoor,Rice,Summer,2012,12338,380.56,36.65,2000000,45797.43,167627.79
Vizianagaram,Rice,Kharif,2018,23296,743.4,25.03,3300000,89685.83,471202.57
Kurnool,Cotton,Kharif,2012,12675,1110.93,22.77,4200000,8144.84,53380.47
YSR Kadapa,Cotton,Kharif,2016,25070,1089.33,27.24,3300000,20604.74,44692.34
West Godavari,Maize,Summer,2021,21080,342.13,33.63,4300000,75963.9,242385.76
Kurnool,Rice,Summer,2013,48139,573.33,36.77,4200000,125766.82,586457.94
Krishna,Chilies,Rabi,2017,14936,698.99,32.2,4200000,22090.93,29633.7
Kurnool,Rice,Rabi,2023,11019,455.04,37.23,4200000,44564.66,440904.56
Vizianagaram,Sugarcane,Rabi,2011,42182,957.0,23.48,3300000,3157285.96,702106.97
Prakasam,Sugarcane,Summer,2017,2746,466.06,22.97,3300000,217030.41,762807.21
West Godavari,Maize,Summer,2018,23768,611.98,31.67,4300000,105640.86,178357.65
Krishna,Chilies,Summer,2022,9325,896.95,37.46,4200000,14557.95,31437.79
Anantapur,Rice,Rabi,2017,45763,733.88,30.04,3300000,126685.12,346970.87
Srikakulam,Chilies,Summer,2015,5486,964.71,22.82,3000000,9342.55,16943.85
Guntur,Maize,Rabi,2019,17485,1165.09,25.54,2100000,65705.86,139474.65
Sri Potti Sriramulu Nellore,Sugarcane,Rabi,2010,15328,404.89,25.92,3100000,1355691.11,625120.86
Visakhapatnam,Sugarcane,Kharif,2016,20112,938.61,27.41,3600000,1554727.57,677622.24
West Godavari,Cotton,Kharif,2010,45001,507.31,22.7,4300000,30712.4,38236.25
Kurnool,Maize,Kharif,2016,33280,673.03,36.48,4200000,97655.56,245618.54
Anantapur,Maize,Rabi,2023,27576,329.58,30.25,3300000,122496.38,132635.05
East Godavari,Rice,Kharif,2011,43528,422.32,32.73,2100000,163803.21,272299.54
East Godavari,Rice,Kharif,2017,16702,587.8,23.07,2100000,64621.76,235824.26
Visakhapatnam,Cotton,Kharif,2011,22320,607.79,22.87,3600000,15297.37,42201.94
West Godavari,Groundnut,Summer,2012,19437,1109.63,31.38,4300000,29452.24,84644.92
West Godavari,Chilies,Rabi,2022,1193,967.63,36.2,4300000,2188.01,19882.71
Guntur,Groundnut,Kharif,2021,26317,1174.96,30.46,2100000,47000.29,54179.7
Kurnool,Groundnut,Summer,2012,29482,839.16,36.05,4200000,32797.46,79564.08
Prakasam,Maize,Summer,2010,20343,517.54,34.98,3300000,70408.35,222099.93
Visakhapatnam,Chilies,Summer,2014,30144,594.89,23.21,3600000,64012.13,16966.27
Guntur,Maize,Kharif,2014,12612,587.85,25.23,2100000,41525.48,129032.21
Kurnool,Chilies,Summer,2019,20307,593.84,32.52,4200000,44822.75,26264.92
Vizianagaram,Sugarcane,Rabi,2014,20623,905.67,29.1,3300000,1128994.69,761608.26
Anantapur,Maize,Summer,2023,21249,777.73,26.65,3300000,60660.57,247129.33
Srikakulam,Maize,Summer,2022,9229,646.88,28.7,3000000,44967.26,159463.52
Prakasam,Maize,Summer,2018,27274,434.18,29.12,3300000,98193.67,234023.59
Vizianagaram,Cotton,Summer,2015,38334,319.93,36.57,3300000,24353.11,30309.17
Vizianagaram,Maize,Rabi,2015,7595,496.95,23.66,3300000,24414.14,170947.86
Sri Potti Sriramulu Nellore,Rice,Kharif,2012,29602,396.72,26.48,3100000,127595.88,279544.67
East Godavari,Rice,Rabi,2014,39377,1006.9,30.6,2100000,150589.7,256732.8
Chittoor,Chilies,Rabi,2019,38876,401.25,33.17,2000000,99041.1,12467.8
Anantapur,Sugarcane,Kharif,2016,35551,951.81,32.09,3300000,2936572.81,737518.84
East Godavari,Cotton,Summer,2012,43926,647.09,37.07,2100000,40781.8,27386.37
Krishna,Chilies,Kharif,2011,25678,366.04,34.73,4200000,51350.47,29554.49
Vizianagaram,Rice,Kharif,2014,23214,1031.46,30.91,3300000,96888.05,443385.2
Chittoor,Cotton,Rabi,2012,39599,821.67,25.43,2000000,30018.94,19383.27
West Godavari,Cotton,Kharif,2014,33809,512.19,29.21,4300000,32353.87,44044.02
East Godavari,Sugarcane,Summer,2018,44954,1105.21,33.09,2100000,3633413.09,447801.31
Guntur,Cotton,Rabi,2020,28794,340.73,35.41,2100000,25501.42,19795.36
Prakasam,Maize,Summer,2019,23593,481.64,37.36,3300000,84729.99,173722.79
YSR Kadapa,Cotton,Rabi,2010,29864,976.84,31.69,3300000,25764.91,31898.86
East Godavari,Sugarcane,Summer,2013,45329,938.44,30.43,2100000,3185952.4,628743.99
Sri Potti Sriramulu Nellore,Chilies,Kharif,2019,43636,560.34,22.28,3100000,85258.26,20898.27
Srikakulam,Sugarcane,Kharif,2014,4689,355.82,23.15,3000000,424778.13,841207.17
Guntur,Sugarcane,Kharif,2011,41363,1072.27,24.5,2100000,2903050.11,607111.19
YSR Kadapa,Rice,Summer,2021,15687,582.33,22.88,3300000,39486.86,417615.23
Anantapur,Maize,Rabi,2011,21381,476.14,28.41,3300000,92013.62,152325.29
Anantapur,Rice,Rabi,2010,34093,764.46,27.39,3300000,135650.0,439219.52
Anantapur,Chilies,Rabi,2023,24589,1119.2,32.2,3300000,60543.54,13380.31
Anantapur,Groundnut,Kharif,2017,2120,339.19,30.57,3300000,3433.16,58031.25
Srikakulam,Chilies,Summer,2011,17491,989.22,31.54,3000000,24895.79,12310.64
East Godavari,Maize,Rabi,2012,44638,815.23,29.55,2100000,137814.75,93955.22
Kurnool,Cotton,Summer,2021,40062,682.9,26.44,4200000,25535.33,55708.92
East Godavari,Sugarcane,Rabi,2011,6193,969.67,37.25,2100000,358407.35,596331.29
Vizianagaram,Groundnut,Kharif,2013,24608,1169.24,23.38,3300000,43551.22,65682.42
Krishna,Maize,Summer,2023,16213,506.29,37.02,4200000,57449.54,185511.7
YSR Kadapa,Rice,Rabi,2010,49379,429.28,26.98,3300000,153369.24,327053.69
YSR Kadapa,Sugarcane,Rabi,2012,15230,1121.59,30.2,3300000,1229589.06,826966.55
Prakasam,Chilies,Rabi,2014,19423,902.06,23.74,3300000,36805.11,17244.85
Chittoor,Rice,Rabi,2019,18187,694.19,23.13,2000000,47026.91,294560.44
Kurnool,Maize,Kharif,2010,11040,815.93,28.87,4200000,46415.51,187253.88
YSR Kadapa,Maize,Rabi,2013,1766,971.05,33.87,3300000,5496.08,246384.56
Kurnool,Chilies,Rabi,2015,30949,995.73,26.31,4200000,64559.53,16983.04
Vizianagaram,Groundnut,Kharif,2013,47464,1127.9,31.0,3300000,83141.47,73668.22
East Godavari,Chilies,Rabi,2016,4527,684.16,26.46,2100000,11387.16,10250.82
Kurnool,Cotton,Summer,2023,12021,564.07,28.22,4200000,7118.66,50248.79
Visakhapatnam,Rice,Summer,2016,18872,875.7,36.5,3600000,58282.96,312330.81
Visakhapatnam,Groundnut,Rabi,2015,37897,674.16,35.69,3600000,62045.63,101741.47
Krishna,Sugarcane,Kharif,2018,12758,835.14,30.26,4200000,794173.08,752277.52
West Godavari,Cotton,Kharif,2011,19757,677.99,25.81,4300000,15341.16,52080.42
Chittoor,Groundnut,Kharif,2022,26412,437.7,25.09,2000000,28210.18,32933.71
Sri Potti Sriramulu Nellore,Rice,Rabi,2019,15312,722.48,37.27,3100000,59813.97,315485.29
Srikakulam,Maize,Rabi,2017,23119,921.83,25.24,3000000,113742.53,135720.9
East Godavari,Sugarcane,Summer,2017,12804,1019.36,34.93,2100000,1152719.86,623486.91
Srikakulam,Chilies,Kharif,2020,47545,743.99,27.9,3000000,113948.25,12126.22
Sri Potti Sriramulu Nellore,Rice,Rabi,2019,11983,448.71,37.77,3100000,30157.98,324469.79
East Godavari,Cotton,Rabi,2023,30999,673.22,27.89,2100000,27058.71,21250.81
East Godavari,Cotton,Rabi,2023,31557,1007.66,27.62,2100000,25179.85,26463.39
Chittoor,Maize,Kharif,2020,40758,671.57,32.2,2000000,205866.59,83946.46
Srikakulam,Maize,Kharif,2013,29788,926.88,37.38,3000000,147901.39,205114.87
Visakhapatnam,Sugarcane,Summer,2015,32950,756.49,37.62,3600000,2981907.1,811127.99
Anantapur,Chilies,Kharif,2020,4983,517.1,33.32,3300000,12130.22,18429.52
Srikakulam,Sugarcane,Rabi,2015,4768,1016.54,34.07,3000000,343150.43,575251.75
Prakasam,Maize,Summer,2014,2504,375.79,31.01,3300000,11307.47,188600.4
Prakasam,Maize,Kharif,2023,3450,772.4,34.09,3300000,17647.53,174029.69
East Godavari,Cotton,Kharif,2010,12236,488.0,35.76,2100000,10247.6,20403.51
Anantapur,Maize,Kharif,2012,9002,360.36,29.78,3300000,43353.18,151481.03
Guntur,Groundnut,Kharif,2016,10891,752.64,31.92,2100000,20671.0,55013.07
Sri Potti Sriramulu Nellore,Rice,Rabi,2017,39787,749.61,30.6,3100000,145148.11,278823.33
Krishna,Maize,Kharif,2011,14898,936.21,31.0,4200000,47404.99,192693.35
Anantapur,Sugarcane,Rabi,2012,11472,970.28,36.24,3300000,637082.18,794606.96
Krishna,Chilies,Rabi,2013,16264,955.01,27.69,4200000,25020.22,20123.34
YSR Kadapa,Chilies,Rabi,2023,18691,668.6,25.33,3300000,36850.95,18505.8
Srikakulam,Chilies,Summer,2020,44487,868.52,29.3,3000000,87913.87,17805.63
Srikakulam,Groundnut,Rabi,2014,33632,819.25,25.33,3000000,54000.69,59526.05
Krishna,Sugarcane,Kharif,2012,34743,679.41,29.97,4200000,2407017.91,874009.9
West Godavari,Groundnut,Summer,2014,44016,837.49,36.46,4300000,84763.79,81454.45
Sri Potti Sriramulu Nellore,Maize,Kharif,2017,14002,1152.52,31.88,3100000,48995.04,173956.06
Anantapur,Rice,Rabi,2017,47981,473.6,35.69,3300000,205599.3,493244.38
Guntur,Chilies,Kharif,2023,44386,1115.19,24.66,2100000,67484.32,11065.93
East Godavari,Sugarcane,Summer,2011,29250,348.11,36.41,2100000,2172705.87,528079.13
Chittoor,Chilies,Summer,2015,44388,577.55,31.63,2000000,96676.63,12451.26
Srikakulam,Groundnut,Kharif,2013,22323,559.33,22.51,3000000,38953.79,81032.24
Prakasam,Cotton,Kharif,2018,4733,863.73,32.13,3300000,3793.27,42845.32
Sri Potti Sriramulu Nellore,Maize,Kharif,2019,42319,418.1,37.22,3100000,138524.61,125278.1
Chittoor,Rice,Summer,2011,3223,1094.11,23.27,2000000,10393.84,203290.39
Guntur,Maize,Rabi,2017,17868,1045.7,31.32,2100000,61701.56,147962.16
Kurnool,Cotton,Kharif,2010,35196,886.86,36.65,4200000,26790.16,49462.78
Vizianagaram,Rice,Rabi,2020,3080,712.57,22.16,3300000,10973.84,288075.76
East Godavari,Cotton,Summer,2015,14776,1139.66,32.09,2100000,12707.86,20859.21
